Gameweek,Date,Home,Away,Result/Time
GW1,Saturday 16 Aug.,Rennes,OM,1 - 0
GW1,Sunday 17 Aug.,RC Lens,OL,0 - 1
GW1,Sunday 17 Aug.,AS Monaco,Havre AC,3 - 1
GW1,Sunday 17 Aug.,OGC Nice,Toulouse FC,0 - 1
GW1,Sunday 17 Aug.,Brest,LOSC,3 - 3
GW1,Monday 18 Aug.,Angers SCO,Paris FC,1 - 0
GW1,Monday 18 Aug.,AJ Auxerre,FC Lorient,1 - 0
GW1,Monday 18 Aug.,FC Metz,Strasbourg,0 - 1
GW1,Monday 18 Aug.,FC Nantes,PSG,0 - 1
GW2,Saturday 23 Aug.,PSG,Angers SCO,1 - 0
GW2,Sunday 24 Aug.,OM,Paris FC,5 - 2
GW2,Sunday 24 Aug.,OGC Nice,AJ Auxerre,3 - 1
GW2,Sunday 24 Aug.,OL,FC Metz,3 - 0
GW2,Sunday 24 Aug.,FC Lorient,Rennes,4 - 0
GW2,Monday 25 Aug.,Havre AC,RC Lens,1 - 2
GW2,Monday 25 Aug.,Strasbourg,FC Nantes,1 - 0
GW2,Monday 25 Aug.,Toulouse FC,Brest,2 - 0
GW2,Monday 25 Aug.,LOSC,AS Monaco,1 - 0
GW3,Saturday 30 Aug.,RC Lens,Brest,3 - 1
GW3,Sunday 31 Aug.,FC Lorient,LOSC,1 - 7
GW3,Sunday 31 Aug.,FC Nantes,AJ Auxerre,1 - 0
GW3,Sunday 31 Aug.,Toulouse FC,PSG,3 - 6
GW3,Sunday 31 Aug.,Angers SCO,Rennes,1 - 1
GW3,Monday 1 Sep.,Havre AC,OGC Nice,3 - 1
GW3,Monday 1 Sep.,AS Monaco,Strasbourg,3 - 2
GW3,Monday 1 Sep.,Paris FC,FC Metz,3 - 2
GW3,Monday 1 Sep.,OL,OM,1 - 0
GW4,Saturday 13 Sep.,OM,FC Lorient,4 - 0
GW4,Sunday 14 Sep.,OGC Nice,FC Nantes,1 - 0
GW4,Sunday 14 Sep.,AJ Auxerre,AS Monaco,1 - 2
GW4,Sunday 14 Sep.,LOSC,Toulouse FC,2 - 1
GW4,Monday 15 Sep.,Brest,Paris FC,1 - 2
GW4,Monday 15 Sep.,FC Metz,Angers SCO,1 - 1
GW4,Monday 15 Sep.,PSG,RC Lens,2 - 0
GW4,Monday 15 Sep.,Strasbourg,Havre AC,1 - 0
GW4,Monday 15 Sep.,Rennes,OL,3 - 1
GW5,Saturday 20 Sep.,OL,Angers SCO,1 - 0
GW5,Sunday 21 Sep.,FC Nantes,Rennes,2 - 2
GW5,Sunday 21 Sep.,Brest,OGC Nice,4 - 1
GW5,Sunday 21 Sep.,RC Lens,LOSC,3 - 0
GW5,Sunday 21 Sep.,Paris FC,Strasbourg,2 - 3
GW5,Monday 22 Sep.,AJ Auxerre,Toulouse FC,1 - 0
GW5,Monday 22 Sep.,Havre AC,FC Lorient,1 - 1
GW5,Monday 22 Sep.,AS Monaco,FC Metz,5 - 2
GW5,Tuesday 23 Sep.,OM,PSG,1 - 0
GW6,Saturday 27 Sep.,Strasbourg,OM,1 - 2
GW6,Sunday 28 Sep.,FC Lorient,AS Monaco,3 - 1
GW6,Sunday 28 Sep.,Toulouse FC,FC Nantes,2 - 2
GW6,Sunday 28 Sep.,PSG,AJ Auxerre,2 - 0
GW6,Sunday 28 Sep.,OGC Nice,Paris FC,1 - 1
GW6,Monday 29 Sep.,Angers SCO,Brest,0 - 2
GW6,Monday 29 Sep.,LOSC,OL,0 - 1
GW6,Monday 29 Sep.,FC Metz,Havre AC,0 - 0
GW6,Monday 29 Sep.,Rennes,RC Lens,0 - 0
GW7,Saturday 4 Oct.,Paris FC,FC Lorient,2 - 0
GW7,Sunday 5 Oct.,FC Metz,OM,0 - 3
